filename,width,height,class,xmin,ymin,xmax,ymax
13_crop2.jpg,1024,1024,varroe,79,266,101,292
13_crop2.jpg,1024,1024,varroe,111,232,129,250
13_crop2.jpg,1024,1024,varroe,288,23,304,41
13_crop2.jpg,1024,1024,varroe,299,5,317,21
13_crop2.jpg,1024,1024,varroe,891,36,909,57
13_crop2.jpg,1024,1024,varroe,934,121,957,139
13_crop2.jpg,1024,1024,varroe,799,86,817,102
13_crop2.jpg,1024,1024,varroe,633,52,646,75
13_crop2.jpg,1024,1024,varroe,647,53,660,76
13_crop2.jpg,1024,1024,varroe,509,248,523,275
13_crop2.jpg,1024,1024,varroe,242,312,258,332
13_crop2.jpg,1024,1024,varroe,21,361,38,378
13_crop2.jpg,1024,1024,varroe,67,363,86,385
13_crop2.jpg,1024,1024,varroe,102,398,118,414
13_crop2.jpg,1024,1024,varroe,253,383,273,397
13_crop2.jpg,1024,1024,varroe,354,391,374,409
13_crop2.jpg,1024,1024,varroe,457,396,477,415
13_crop2.jpg,1024,1024,varroe,816,382,831,406
13_crop2.jpg,1024,1024,varroe,929,348,946,372
13_crop2.jpg,1024,1024,varroe,131,446,146,467
13_crop2.jpg,1024,1024,varroe,120,557,137,577
13_crop2.jpg,1024,1024,varroe,162,541,178,562
13_crop2.jpg,1024,1024,varroe,65,630,82,651
13_crop2.jpg,1024,1024,varroe,146,615,162,635
13_crop2.jpg,1024,1024,varroe,415,507,431,530
13_crop2.jpg,1024,1024,varroe,453,511,471,527
13_crop2.jpg,1024,1024,varroe,717,328,732,346
13_crop2.jpg,1024,1024,varroe,727,528,745,553
13_crop2.jpg,1024,1024,varroe,125,664,140,683
13_crop2.jpg,1024,1024,varroe,110,664,126,682
13_crop2.jpg,1024,1024,varroe,83,661,100,675
13_crop2.jpg,1024,1024,varroe,127,685,142,696
13_crop2.jpg,1024,1024,varroe,125,697,141,714
13_crop2.jpg,1024,1024,varroe,119,718,136,732
13_crop2.jpg,1024,1024,varroe,123,742,137,758
13_crop2.jpg,1024,1024,varroe,79,709,100,729
13_crop2.jpg,1024,1024,varroe,20,694,38,715
13_crop2.jpg,1024,1024,varroe,37,767,52,782
13_crop2.jpg,1024,1024,varroe,43,780,59,795
13_crop2.jpg,1024,1024,varroe,26,789,39,807
13_crop2.jpg,1024,1024,varroe,13,839,30,859
13_crop2.jpg,1024,1024,varroe,50,820,67,835
13_crop2.jpg,1024,1024,varroe,12,906,34,924
13_crop2.jpg,1024,1024,varroe,191,699,211,719
13_crop2.jpg,1024,1024,varroe,273,662,286,684
13_crop2.jpg,1024,1024,varroe,262,672,276,689
13_crop2.jpg,1024,1024,varroe,246,702,262,717
13_crop2.jpg,1024,1024,varroe,244,716,260,730
13_crop2.jpg,1024,1024,varroe,113,877,132,897
13_crop2.jpg,1024,1024,varroe,136,869,151,888
13_crop2.jpg,1024,1024,varroe,211,798,232,814
13_crop2.jpg,1024,1024,varroe,228,760,248,781
13_crop2.jpg,1024,1024,varroe,250,751,267,771
13_crop2.jpg,1024,1024,varroe,63,945,81,960
13_crop2.jpg,1024,1024,varroe,0,985,13,1001
13_crop2.jpg,1024,1024,varroe,0,1005,13,1022
13_crop2.jpg,1024,1024,varroe,371,603,388,617
13_crop2.jpg,1024,1024,varroe,342,622,356,638
13_crop2.jpg,1024,1024,varroe,330,626,342,646
13_crop2.jpg,1024,1024,varroe,315,671,337,692
13_crop2.jpg,1024,1024,varroe,323,702,339,720
13_crop2.jpg,1024,1024,varroe,345,686,361,706
13_crop2.jpg,1024,1024,varroe,355,697,374,712
13_crop2.jpg,1024,1024,varroe,383,684,401,702
13_crop2.jpg,1024,1024,varroe,432,615,450,639
13_crop2.jpg,1024,1024,varroe,456,574,479,594
13_crop2.jpg,1024,1024,varroe,546,638,567,658
13_crop2.jpg,1024,1024,varroe,463,642,485,667
13_crop2.jpg,1024,1024,varroe,506,671,521,690
13_crop2.jpg,1024,1024,varroe,518,710,535,730
13_crop2.jpg,1024,1024,varroe,435,723,450,742
13_crop2.jpg,1024,1024,varroe,408,760,426,778
13_crop2.jpg,1024,1024,varroe,412,810,433,827
13_crop2.jpg,1024,1024,varroe,340,809,356,828
